"name","label","geometry","site"
400,400,"43.9939 4.1996","ripisylves_gardon"
401,401,"43.9926 4.2000","ripisylves_gardon"
402,402,"43.9914 4.2024","ripisylves_gardon"
403,403,"43.9887 4.2052","ripisylves_gardon"
404,404,"43.9896 4.2044","ripisylves_gardon"
405,405,"43.9901 4.2053","ripisylves_gardon"
406,406,"43.9920 4.2031","ripisylves_gardon"
407,407,"43.9916 4.2037","ripisylves_gardon"
408,408,"43.9874 4.2060","ripisylves_gardon"
409,409,"43.9877 4.2037","ripisylves_gardon"
410,410,"43.9888 4.2037","ripisylves_gardon"
411,411,"43.9865 4.2056","ripisylves_gardon"
412,412,"43.9841 4.2087","ripisylves_gardon"
413,413,"43.9845 4.2089","ripisylves_gardon"
414,414,"43.9828 4.2093","ripisylves_gardon"
415,415,"43.9841 4.2102","ripisylves_gardon"
416,416,"43.9845 4.2081","ripisylves_gardon"
417,417,"43.9863 4.2052","ripisylves_gardon"
418,418,"43.9839 4.2082","ripisylves_gardon"
419,419,"43.9855 4.2059","ripisylves_gardon"
420,420,"43.9837 4.2085","ripisylves_gardon"
421,421,"43.9842 4.2076","ripisylves_gardon"
422,422,"43.9840 4.2083","ripisylves_gardon"
423,423,"43.9842 4.2039","ripisylves_gardon"
424,424,"43.9844 4.2048","ripisylves_gardon"
425,425,"43.9836 4.2077","ripisylves_gardon"
426,426,"43.9842 4.2052","ripisylves_gardon"
427,427,"43.9830 4.2073","ripisylves_gardon"
428,428,"43.9820 4.2103","ripisylves_gardon"
429,429,"43.9720 4.2239","ripisylves_gardon"
430,430,"43.9749 4.2329","ripisylves_gardon"
431,431,"43.9760 4.2277","ripisylves_gardon"
432,432,"43.9756 4.2288","ripisylves_gardon"
433,433,"43.9746 4.2330","ripisylves_gardon"
434,434,"43.9878 4.2026","ripisylves_gardon"
435,435,"43.9907 4.2014","ripisylves_gardon"
436,436,"43.9910 4.2002","ripisylves_gardon"
437,437,"43.9894 4.2029","ripisylves_gardon"
438,438,"43.9887 4.2022","ripisylves_gardon"
439,439,"44.0233 4.2043","ripisylves_gardon"
440,440,"44.0263 4.2086","ripisylves_gardon"
441,441,"44.0246 4.2053","ripisylves_gardon"
442,442,"43.9983 4.2089","ripisylves_gardon"
443,443,"43.9986 4.2070","ripisylves_gardon"
444,444,"43.9985 4.2072","ripisylves_gardon"
445,445,"43.9989 4.2080","ripisylves_gardon"
446,446,"43.9981 4.2073","ripisylves_gardon"
447,447,"43.9986 4.2067","ripisylves_gardon"
448,448,"44.0365 4.1906","ripisylves_gardon"
449,449,"44.0348 4.1375","ripisylves_gardon"
450,450,"44.0299 4.1455","ripisylves_gardon"
451,451,"44.0319 4.1468","ripisylves_gardon"
452,452,"44.0326 4.1466","ripisylves_gardon"
453,453,"44.0327 4.1464","ripisylves_gardon"
454,454,"44.0333 4.1460","ripisylves_gardon"
455,455,"44.0316 4.1471","ripisylves_gardon"
456,456,"44.0341 4.1454","ripisylves_gardon"
457,457,"44.0335 4.1458","ripisylves_gardon"
458,458,"44.0336 4.1455","ripisylves_gardon"
459,459,"44.0343 4.1456","ripisylves_gardon"
460,460,"44.0347 4.1448","ripisylves_gardon"
461,461,"44.0301 4.1472","ripisylves_gardon"
462,462,"44.0293 4.1482","ripisylves_gardon"
463,463,"44.0293 4.1480","ripisylves_gardon"
464,464,"44.0314 4.1399","ripisylves_gardon"
465,465,"44.0302 4.1167","ripisylves_gardon"
466,466,"44.0271 4.1472","ripisylves_gardon"
467,467,"44.0269 4.1464","ripisylves_gardon"
468,468,"44.0275 4.1478","ripisylves_gardon"
469,469,"44.0252 4.1466","ripisylves_gardon"
470,470,"44.0184 4.1389","ripisylves_gardon"
471,471,"44.0220 4.1466","ripisylves_gardon"
472,472,"44.0168 4.1423","ripisylves_gardon"
473,473,"44.0128 4.1459","ripisylves_gardon"
474,474,"44.0137 4.1489","ripisylves_gardon"
475,475,"44.0153 4.1507","ripisylves_gardon"
476,476,"44.0156 4.1515","ripisylves_gardon"
477,477,"44.0154 4.1503","ripisylves_gardon"
478,478,"44.0227 4.1409","ripisylves_gardon"
479,479,"44.0262 4.1495","ripisylves_gardon"
480,480,"44.0262 4.1489","ripisylves_gardon"
481,481,"44.0305 4.1506","ripisylves_gardon"
482,482,"44.0308 4.1511","ripisylves_gardon"
483,483,"44.0308 4.1521","ripisylves_gardon"
484,484,"44.0326 4.1485","ripisylves_gardon"
485,485,"44.0327 4.1507","ripisylves_gardon"
486,486,"44.0335 4.1536","ripisylves_gardon"
487,487,"44.0330 4.1515","ripisylves_gardon"
488,488,"44.0355 4.1493","ripisylves_gardon"
489,489,"44.0354 4.1503","ripisylves_gardon"
490,490,"44.0353 4.1535","ripisylves_gardon"
491,491,"44.0402 4.1543","ripisylves_gardon"
492,492,"44.0398 4.1528","ripisylves_gardon"
493,493,"44.0411 4.1532","ripisylves_gardon"
494,494,"44.0153 4.1387","ripisylves_gardon"
495,495,"44.0145 4.1367","ripisylves_gardon"
496,496,"44.0121 4.1446","ripisylves_gardon"
497,497,"44.0080 4.1458","ripisylves_gardon"
498,498,"44.0073 4.1484","ripisylves_gardon"
499,499,"44.0135 4.1538","ripisylves_gardon"
500,500,"44.0131 4.1537","ripisylves_gardon"
501,501,"44.0134 4.1541","ripisylves_gardon"
502,502,"44.0137 4.1560","ripisylves_gardon"
503,503,"44.0086 4.1384","ripisylves_gardon"
504,504,"44.0063 4.1474","ripisylves_gardon"
505,505,"44.0062 4.1465","ripisylves_gardon"
506,506,"44.0062 4.1467","ripisylves_gardon"
507,507,"44.0081 4.1480","ripisylves_gardon"
508,508,"44.0070 4.1489","ripisylves_gardon"
509,509,"44.0071 4.1469","ripisylves_gardon"
510,510,"44.0070 4.1473","ripisylves_gardon"
511,511,"44.0082 4.1478","ripisylves_gardon"
512,512,"44.0067 4.1468","ripisylves_gardon"
513,513,"44.0078 4.1464","ripisylves_gardon"
514,514,"44.0089 4.1414","ripisylves_gardon"
515,515,"44.0084 4.1410","ripisylves_gardon"
516,516,"44.0075 4.1369","ripisylves_gardon"
517,517,"44.0089 4.1427","ripisylves_gardon"
